product_id,product_name,plant,customer,lifecycle,priority,month_1,month_2,month_3,month_4,net_change_injected
P001,电驱控制器-A,华东工厂,客户A,Pilot,B,1440,3080,5130,5130,1800
P002,车载电源-B,华南工厂,客户B,Pilot,B,4560,6680,5560,6680,-1600
P003,域控制器-C,华东工厂,客户C,SOP,B,1100,630,210,0,900
P004,充电模块-D,华南工厂,客户D,SOP,A,4270,5330,4270,3200,0
P005,电驱控制器-E,华东工厂,客户E,Develop,B,0,1470,5370,8300,2400
P006,车载电源-F,华南工厂,客户F,Develop,B,1300,1300,2710,3250,1300
P007,域控制器-G,华东工厂,客户A,Pilot,B,1060,3530,6170,5290,2000
P008,充电模块-H,华南工厂,客户B,EOM预警,C,3330,2150,1080,0,-2200
P009,电驱控制器-I,华东工厂,客户C,EOM,C,1090,2180,1090,0,-1200
P010,车载电源-J,华南工厂,客户D,SOP,A,1480,5920,6910,4930,1500
P011,域控制器-K,华东工厂,客户E,EOM预警,C,310,510,0,0,-700
P012,充电模块-L,华南工厂,客户F,Pilot,B,260,310,620,310,3500
