exception_id,object_type,object_id,plant,exception_type,severity,risk_score,evidence,root_cause,recommended_action,owner,related_models,status
EXC0010,物料,M0001,华东工厂,LONG_LT_SHORTAGE,Critical,100,8周需求=46999，库存=9399，在途=42299，缺口=5391，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P001;P002;P003;P005;P008;P011,待处理
EXC0095,物料,M0054,华南工厂,LONG_LT_SHORTAGE,Critical,100,8周需求=13063，库存=4718，在途=1849，缺口=7246，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P010,待处理
EXC0009,产品,P012,华南工厂,DEMAND_SURGE,Critical,90,净变化=3500，变化率=376.3%,客户需求或计划版本变化,展开BOM并执行增量齐套检查,主计划,P012,待处理
EXC0014,物料,M0001,华南工厂,LONG_LT_SHORTAGE,Critical,90,8周需求=89852，库存=17970，在途=80866，缺口=1106，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P001;P002;P003;P005;P008;P011,待处理
EXC0033,物料,M0016,华东工厂,LONG_LT_SHORTAGE,Critical,90,8周需求=20481，库存=3072，在途=5120，缺口=16334，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P001;P004;P007;P008;P010,待处理
EXC0055,物料,M0027,华东工厂,LONG_LT_SHORTAGE,Critical,90,8周需求=12719，库存=1907，在途=3179，缺口=8417，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P007;P008;P009,待处理
EXC0071,物料,M0038,华东工厂,LONG_LT_SHORTAGE,Critical,90,8周需求=17950，库存=2692，在途=4487，缺口=14155，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P004;P005;P006;P008,待处理
EXC0109,物料,M0071,华东工厂,LONG_LT_SHORTAGE,Critical,90,8周需求=17950，库存=2692，在途=4487，缺口=12354，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P005,待处理
EXC0011,物料,M0001,华东工厂,PO_LATE,Critical,85,需求周=W3，PO ETA=W9，在途=42299,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002;P003;P005;P008;P011,待处理
EXC0013,物料,M0001,华东工厂,COMMON_PART_COMPETITION,Critical,85,共用于6个机型，8周缺口=5391,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P003;P005;P008;P011,待处理
EXC0015,物料,M0001,华南工厂,PO_LATE,Critical,85,需求周=W2，PO ETA=W9，在途=80866,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002;P003;P005;P008;P011,待处理
EXC0016,物料,M0001,华南工厂,COMMON_PART_COMPETITION,Critical,85,共用于6个机型，8周缺口=1106,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P003;P005;P008;P011,待处理
EXC0019,物料,M0005,华东工厂,COMMON_PART_COMPETITION,Critical,85,共用于6个机型，8周缺口=46800,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P002;P004;P005;P006;P008;P011,待处理
EXC0034,物料,M0016,华东工厂,PO_LATE,Critical,85,需求周=W2，PO ETA=W8，在途=5120,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P004;P007;P008;P010,待处理
EXC0035,物料,M0016,华东工厂,COMMON_PART_COMPETITION,Critical,85,共用于5个机型，8周缺口=16334,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P004;P007;P008;P010,待处理
EXC0056,物料,M0027,华东工厂,PO_LATE,Critical,85,需求周=W2，PO ETA=W8，在途=3179,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P007;P008;P009,待处理
EXC0072,物料,M0038,华东工厂,PO_LATE,Critical,85,需求周=W3，PO ETA=W8，在途=4487,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P004;P005;P006;P008,待处理
EXC0096,物料,M0054,华南工厂,PO_LATE,Critical,85,需求周=W3，PO ETA=W6，在途=1849,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P010,待处理
EXC0110,物料,M0071,华东工厂,PO_LATE,Critical,85,需求周=W3，PO ETA=W8，在途=4487,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P005,待处理
EXC0047,物料,M0021,华南工厂,COMMON_PART_COMPETITION,Critical,80,共用于4个机型，8周缺口=4991,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P006;P010;P011;P012,待处理
EXC0073,物料,M0038,华东工厂,COMMON_PART_COMPETITION,Critical,80,共用于4个机型，8周缺口=14155,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P004;P005;P006;P008,待处理
EXC0018,物料,M0005,华东工厂,LONG_LT_SHORTAGE,Critical,75,8周需求=89750，库存=32370，在途=21620，缺口=46800，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P002;P004;P005;P006;P008;P011,待处理
EXC0022,物料,M0007,华东工厂,COMMON_PART_COMPETITION,Critical,75,共用于6个机型，8周缺口=50865,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P003;P006;P007;P008;P009;P012,待处理
EXC0024,物料,M0008,华东工厂,COMMON_PART_COMPETITION,Critical,75,共用于6个机型，8周缺口=2297,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P003;P006;P007;P008;P009;P012,待处理
EXC0026,物料,M0008,华南工厂,COMMON_PART_COMPETITION,Critical,75,共用于6个机型，8周缺口=2388,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P003;P006;P007;P008;P009;P012,待处理
EXC0028,物料,M0010,华东工厂,COMMON_PART_COMPETITION,Critical,75,共用于6个机型，8周缺口=9650,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P003;P006;P009;P010;P011;P012,待处理
EXC0029,物料,M0011,华东工厂,COMMON_PART_COMPETITION,Critical,75,共用于6个机型，8周缺口=7721,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P003;P006;P009;P010;P011;P012,待处理
EXC0037,物料,M0017,华东工厂,COMMON_PART_COMPETITION,Critical,75,共用于5个机型，8周缺口=2625,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P004;P007;P010,待处理
EXC0038,物料,M0017,华南工厂,COMMON_PART_COMPETITION,Critical,75,共用于5个机型，8周缺口=20583,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P004;P007;P010,待处理
EXC0039,物料,M0019,华东工厂,COMMON_PART_COMPETITION,Critical,75,共用于5个机型，8周缺口=10509,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P003;P007;P012,待处理
EXC0042,物料,M0019,华南工厂,COMMON_PART_COMPETITION,Critical,75,共用于5个机型，8周缺口=14861,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P003;P007;P012,待处理
EXC0046,物料,M0021,华南工厂,LONG_LT_SHORTAGE,Critical,75,8周需求=55132，库存=34323，在途=19203，缺口=4991，LT=45天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P006;P010;P011;P012,待处理
EXC0057,物料,M0027,华东工厂,COMMON_PART_COMPETITION,Critical,75,共用于3个机型，8周缺口=8417,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P007;P008;P009,待处理
EXC0058,物料,M0027,华南工厂,LONG_LT_SHORTAGE,Critical,75,8周需求=809，库存=591，在途=19，缺口=983，LT=60天,长提前期物料供给不足,优先催交；评估新增PR/替代供应商；检查跨厂调拨,MC/采购,P007;P008;P009,待处理
EXC0059,物料,M0027,华南工厂,COMMON_PART_COMPETITION,Critical,75,共用于3个机型，8周缺口=983,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P007;P008;P009,待处理
EXC0112,物料,M0005,华东工厂,TRANSFER_OPPORTUNITY,Critical,75,华东工厂缺口=46800，华南工厂可调拨=6032,跨工厂库存分布不均,从华南工厂向华东工厂调拨6032件，并冻结对应新增采购,主计划/物流,P002;P004;P005;P006;P008;P011,待处理
EXC0118,物料,M0016,华东工厂,TRANSFER_OPPORTUNITY,Critical,75,华东工厂缺口=16334，华南工厂可调拨=7996,跨工厂库存分布不均,从华南工厂向华东工厂调拨7996件，并冻结对应新增采购,主计划/物流,P001;P004;P007;P008;P010,待处理
EXC0124,物料,M0038,华东工厂,TRANSFER_OPPORTUNITY,Critical,75,华东工厂缺口=14155，华南工厂可调拨=224,跨工厂库存分布不均,从华南工厂向华东工厂调拨224件，并冻结对应新增采购,主计划/物流,P004;P005;P006;P008,待处理
EXC0006,产品,P008,华南工厂,DEMAND_DROP,High,70.4,净变化=-2200，变化率=-68.1%,客户需求或计划版本变化,复核在途PO并评估取消/降量,主计划,P008,待处理
EXC0012,物料,M0001,华东工厂,PR_NOT_CONVERTED,High,70,缺口=5391，PR数量=5391，LT=60天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P001;P002;P003;P005;P008;P011,待处理
EXC0020,物料,M0005,华南工厂,PO_LATE,High,70,需求周=W5，PO ETA=W10，在途=35506,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P002;P004;P005;P006;P008;P011,待处理
EXC0021,物料,M0007,华东工厂,PO_LATE,High,70,需求周=W5，PO ETA=W10，在途=4337,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P003;P006;P007;P008;P009;P012,待处理
EXC0025,物料,M0008,华南工厂,PO_LATE,High,70,需求周=W7，PO ETA=W8，在途=9570,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P003;P006;P007;P008;P009;P012,待处理
EXC0027,物料,M0010,华东工厂,PO_LATE,High,70,需求周=W4，PO ETA=W6，在途=363,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P003;P006;P009;P010;P011;P012,待处理
EXC0030,物料,M0013,华东工厂,COMMON_PART_COMPETITION,High,70,共用于4个机型，8周缺口=888,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P004;P007;P010,待处理
EXC0032,物料,M0014,华东工厂,COMMON_PART_COMPETITION,High,70,共用于4个机型，8周缺口=5581,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P004;P007;P010,待处理
EXC0036,物料,M0017,华东工厂,PO_LATE,High,70,需求周=W5，PO ETA=W9，在途=16946,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002;P004;P007;P010,待处理
EXC0040,物料,M0019,华南工厂,PO_LATE,High,70,需求周=W3，PO ETA=W6，在途=6560,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002;P003;P007;P012,待处理
EXC0043,物料,M0020,华东工厂,PO_LATE,High,70,需求周=W8，PO ETA=W9，在途=839,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002;P003;P012,待处理
EXC0045,物料,M0020,华东工厂,COMMON_PART_COMPETITION,High,70,共用于4个机型，8周缺口=2480,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P003;P012,待处理
EXC0048,物料,M0022,华南工厂,PO_LATE,High,70,需求周=W2，PO ETA=W9，在途=13216,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P002;P006,待处理
EXC0050,物料,M0024,华东工厂,PO_LATE,High,70,需求周=W5，PO ETA=W10，在途=31058,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P004;P005;P006;P012,待处理
EXC0051,物料,M0024,华东工厂,COMMON_PART_COMPETITION,High,70,共用于4个机型，8周缺口=30469,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P004;P005;P006;P012,待处理
EXC0053,物料,M0026,华南工厂,PO_LATE,High,70,需求周=W4，PO ETA=W8，在途=6574,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P004;P006;P008,待处理
EXC0060,物料,M0028,华东工厂,COMMON_PART_COMPETITION,High,70,共用于4个机型，8周缺口=1456,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P007;P008;P009,待处理
EXC0061,物料,M0028,华南工厂,COMMON_PART_COMPETITION,High,70,共用于4个机型，8周缺口=1783,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P007;P008;P009,待处理
EXC0062,物料,M0030,华东工厂,PO_LATE,High,70,需求周=W3，PO ETA=W6，在途=22561,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002;P003;P007,待处理
EXC0064,物料,M0030,华东工厂,COMMON_PART_COMPETITION,High,70,共用于4个机型，8周缺口=19859,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002;P003;P007,待处理
EXC0066,物料,M0033,华南工厂,PO_LATE,High,70,需求周=W3，PO ETA=W5，在途=2253,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P007;P008;P009,待处理
