action_id,material_id,plant,priority,sequence,action,action_qty,estimated_value,execution_condition,owner,approval_required,status
EXA-0006,M0033,华东工厂,P0,1,取消/减量未锁定PO,50005,15977097.55,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0002,M0011,华南工厂,P0,1,取消/减量未锁定PO,20235,6609358.05,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0030,M0064,华南工厂,P0,1,取消/减量未锁定PO,3203,1079218.82,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0003,M0013,华南工厂,P0,1,取消/减量未锁定PO,7077,826522.83,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0032,M0069,华南工厂,P0,1,取消/减量未锁定PO,1507,350422.71,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0001,M0007,华南工厂,P0,1,取消/减量未锁定PO,1968,290476.8,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0017,M0045,华东工厂,P0,1,取消/减量未锁定PO,964,277844.08,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0020,M0049,华东工厂,P0,1,取消/减量未锁定PO,3855,259865.55,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0031,M0066,华东工厂,P0,1,取消/减量未锁定PO,978,176793.06,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0013,M0042,华南工厂,P0,1,取消/减量未锁定PO,906,149798.04,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0010,M0041,华南工厂,P0,1,取消/减量未锁定PO,453,119478.75,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0024,M0050,华东工厂,P0,1,取消/减量未锁定PO,3855,37933.2,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0007,M0037,华南工厂,P0,1,取消/减量未锁定PO,226,32934.98,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0028,M0055,华东工厂,P0,1,取消/减量未锁定PO,153,15186.78,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0027,M0052,华东工厂,P0,1,取消/减量未锁定PO,45,475.2,采购确认供应商承诺与取消费用后执行,采购,Y,待处理
EXA-0033,M0069,华南工厂,P1,2,延期在途PO至滚动需求窗口外,1077,250434.81,采购与供应商确认新ETA；四周后重新评估,采购,Y,待处理
EXA-0018,M0045,华东工厂,P1,2,延期在途PO至滚动需求窗口外,688,198295.36,采购与供应商确认新ETA；四周后重新评估,采购,Y,待处理
EXA-0021,M0049,华东工厂,P1,2,延期在途PO至滚动需求窗口外,2754,185647.14,采购与供应商确认新ETA；四周后重新评估,采购,Y,待处理
EXA-0014,M0042,华南工厂,P1,2,延期在途PO至滚动需求窗口外,647,106974.98,采购与供应商确认新ETA；四周后重新评估,采购,Y,待处理
EXA-0011,M0041,华南工厂,P1,2,延期在途PO至滚动需求窗口外,324,85455.0,采购与供应商确认新ETA；四周后重新评估,采购,Y,待处理
EXA-0025,M0050,华东工厂,P1,2,延期在途PO至滚动需求窗口外,2754,27099.36,采购与供应商确认新ETA；四周后重新评估,采购,Y,待处理
EXA-0008,M0037,华南工厂,P1,2,延期在途PO至滚动需求窗口外,162,23608.26,采购与供应商确认新ETA；四周后重新评估,采购,Y,待处理
EXA-0035,M0070,华南工厂,P2,1,跨工厂调拨,785,65445.45,调入缺料工厂：华东工厂:785,计划/MC,Y,待处理
EXA-0005,M0031,华南工厂,P3,1,共用机型优先消耗,15162,4015958.94,锁定共用机型：P010;P012；ATP分配并冻结新增采购,计划/MC,Y,待处理
EXA-0036,M0070,华南工厂,P3,2,共用机型优先消耗,8680,723651.6,锁定共用机型：P012；ATP分配并冻结新增采购,计划/MC,Y,待处理
EXA-0029,M0057,华南工厂,P4,1,ECN切换消耗,9241,2990664.83,候选替代物料：M0067；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0019,M0045,华东工厂,P4,3,ECN切换消耗,3338,962078.36,候选替代物料：M0005；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0022,M0049,华东工厂,P4,3,ECN切换消耗,11793,794966.13,候选替代物料：M0034；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0037,M0070,华南工厂,P4,3,ECN切换消耗,7692,641282.04,候选替代物料：M0060；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0015,M0042,华南工厂,P4,3,ECN切换消耗,3138,518836.92,候选替代物料：M0007；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0012,M0041,华南工厂,P4,3,ECN切换消耗,1568,413560.0,候选替代物料：M0031；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0026,M0050,华东工厂,P4,3,ECN切换消耗,13354,131403.36,候选替代物料：M0005；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0009,M0037,华南工厂,P4,3,ECN切换消耗,785,114398.05,候选替代物料：M0007；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0004,M0018,华南工厂,P4,1,ECN切换消耗,2490,110431.5,候选替代物料：M0043；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0016,M0044,华南工厂,P4,1,ECN切换消耗,815,52665.3,候选替代物料：M0034；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0034,M0069,华南工厂,P4,3,ECN切换消耗,6,1395.18,候选替代物料：M0014；先完成试装、质量与客户批准,研发/质量/计划/采购,Y,待处理
EXA-0038,M0070,华南工厂,P6,4,长期消耗/计提/报废评审,2772,231101.64,财务计提前先完成市场备件、售后需求及替代用途复核,计划/财务,Y,待处理
EXA-0023,M0049,华东工厂,P6,4,长期消耗/计提/报废评审,1561,105227.01,财务计提前先完成市场备件、售后需求及替代用途复核,计划/财务,Y,待处理
