source_material,source_plant,source_excess_qty,source_category,target_material,target_supplier,target_models,target_12w_gap_qty,compatibility_score,unit_price_delta_rate,lead_time_delta_days,suggested_trial_qty,potential_consume_qty,validation_path,consumption_strategy,approval_gate,estimated_lead_weeks,status
M0018,华南工厂,2490,塑胶件,M0043,SUP011,P001;P002,31375,89,0.344,27,124,2490,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0037,华南工厂,1173,电缆/线束,M0007,SUP005,P003;P006;P007;P008;P009;P012,100722,88,0.013,0,58,1173,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0041,华南工厂,2345,PCB/电子料,M0031,SUP015,P010;P011;P012,0,96,0.004,4,117,2345,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0042,华南工厂,4691,电缆/线束,M0007,SUP005,P003;P006;P007;P008;P009;P012,100722,83,0.12,18,234,4691,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,6,待可行性验证
M0044,华南工厂,815,五金件,M0034,SUP009,P005;P007,11793,82,0.215,0,50,815,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,6,待可行性验证
M0045,华东工厂,4990,磁性件,M0005,SUP009,P002;P004;P005;P006;P008;P011,191252,88,0.062,15,249,4990,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0049,华东工厂,19963,五金件,M0034,SUP009,P005;P007,11793,78,0.181,57,589,11793,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,6,待可行性验证
M0050,华东工厂,19963,磁性件,M0005,SUP009,P002;P004;P005;P006;P008;P011,191252,71,0.964,30,998,19963,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,6,待可行性验证
M0052,华东工厂,45,电缆/线束,M0057,SUP016,P010,0,81,0.967,11,45,45,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,6,待可行性验证
M0055,华东工厂,153,磁性件,M0030,SUP008,P001;P002;P003;P007,55307,88,0.06,7,50,153,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0057,华南工厂,9241,电缆/线束,M0067,SUP019,P005,16469,85,0.029,11,462,9241,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0064,华南工厂,3203,五金件,M0009,SUP004,P005,29046,85,0.165,4,160,3203,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0066,华东工厂,978,PCB/电子料,M0051,SUP004,P003,3398,85,0.092,4,50,978,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0069,华南工厂,2590,五金件,M0014,SUP011,P001;P004;P007;P010,41283,88,0.156,0,129,2590,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
M0070,华南工厂,19929,磁性件,M0060,SUP015,P004,7692,87,0.119,53,384,7692,图纸/规格核对→功能与尺寸验证→样件试装→质量/PPAP审批→客户批准（如需）→ECN生效,新旧物料并行，优先消耗旧料；ECN设生效批次与旧料切换截止点,研发+质量+计划+采购；涉及客户特性时增加客户批准,4,待可行性验证
