product_id,product_name,plant,lifecycle,previous_remaining_demand,current_remaining_demand,period_shipments,reconciled_change,reverse_change,change_direction,change_rate,significant_change
P001,电驱控制器-A,华东工厂,Pilot,8210,9483,527,1800,-1800,增加,0.2192,Y
P002,车载电源-B,华南工厂,Pilot,12240,9624,1016,-1600,1600,减少,-0.1307,Y
P003,域控制器-C,华东工厂,SOP,840,1616,124,900,-900,增加,1.0714,N
P004,充电模块-D,华南工厂,SOP,9600,8643,957,0,0,不变,0.0,N
P005,电驱控制器-E,华东工厂,Develop,6840,8975,265,2400,-2400,增加,0.3509,Y
P006,车载电源-F,华南工厂,Develop,4010,5061,249,1300,-1300,增加,0.3242,Y
P007,域控制器-G,华东工厂,Pilot,9700,10998,702,2000,-2000,增加,0.2062,Y
P008,充电模块-H,华南工厂,EOM预警,3230,809,221,-2200,2200,减少,-0.6811,Y
P009,电驱控制器-I,华东工厂,EOM,3270,1721,349,-1200,1200,减少,-0.367,Y
P010,车载电源-J,华南工厂,SOP,12830,13063,1267,1500,-1500,增加,0.1169,Y
P011,域控制器-K,华东工厂,EOM预警,510,0,87,-423,423,减少,-0.8294,N
P012,充电模块-L,华南工厂,Pilot,930,4381,49,3500,-3500,增加,3.7634,Y
